v1,v2,
2,آج میرے جسم نے بھی میرا ساتھ چھوڑ دیا,
1,آج میرے جسم نے بھی میرا ساتھ چھوڑ دیا,
1,آج میرے جسم نے بھی میرا ساتھ چھوڑ دیا,
0,آج میرے جسم نے بھی میرا ساتھ چھوڑ دیا,
2,یہاں میں وہ روابط شامل کرونگا جو مجھے دلچسپ معلوم ہوئے ,
1,یہاں میں وہ روابط شامل کرونگا جو مجھے دلچسپ معلوم ہوئے ,
1,میرا جیسا اندازہ تھا آپ بالکل ویسے ہی نکلے ,
2,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
2,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
1,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
0,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
0,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
2,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
2,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
5,روسیوں کی اس جارحانہ پیش قدمی کے دوران جس علاقے کے باشندوں نے حملہ آوروں کا سب سے زیادہ مقابلہ کیا وہ داغستان ہے یہاں کے جری باشندوں نے بار بار بغاوت کی اور روسیوں کو اپنے وطن سے نکال باہر کیا ,
1,بہت عمدہ شعر ,
2,ماں آپ نے سنہرے گنبد کے نیچے اس سفید محراب کے سامنے کھڑے ہوکر اباجان سے ساری زندگی ساتھ دینے کا وعدہ کیا ,
1,ماں آپ نے سنہرے گنبد کے نیچے اس سفید محراب کے سامنے کھڑے ہوکر اباجان سے ساری زندگی ساتھ دینے کا وعدہ کیا ,
2,ماں آپ نے سنہرے گنبد کے نیچے اس سفید محراب کے سامنے کھڑے ہوکر اباجان سے ساری زندگی ساتھ دینے کا وعدہ کیا ,
1,ماں آپ نے سنہرے گنبد کے نیچے اس سفید محراب کے سامنے کھڑے ہوکر اباجان سے ساری زندگی ساتھ دینے کا وعدہ کیا ,
0,تنتیس سالہ بیت اللہ محسود صوبہ سرحد کے ضلع بنوں میں کینٹ کے علاقے داؤد شاہ میں پیدا ہوئے ,
1,تنتیس سالہ بیت اللہ محسود صوبہ سرحد کے ضلع بنوں میں کینٹ کے علاقے داؤد شاہ میں پیدا ہوئے ,
3,تنتیس سالہ بیت اللہ محسود صوبہ سرحد کے ضلع بنوں میں کینٹ کے علاقے داؤد شاہ میں پیدا ہوئے ,
1,قبلہ میں یہاں دیکھتا ہوں کوئی صورت ہے کہ نہیں ,
1,وہ جزیرے جن کے افق ہجوم سحر سے دید بہار تھے ,
1,وہ جزیرے جن کے افق ہجوم سحر سے دید بہار تھے ,
2,وہ جزیرے جن کے افق ہجوم سحر سے دید بہار تھے ,
4,وہ جزیرے جن کے افق ہجوم سحر سے دید بہار تھے ,
3,امام بیہقی نے حضرت ابو ذر غفاری رضی اللہ عنہ سے مروی روایت میں اِن الفاظ کا,
1,امام بیہقی نے حضرت ابو ذر غفاری رضی اللہ عنہ سے مروی روایت میں اِن الفاظ کا,
2,امام بیہقی نے حضرت ابو ذر غفاری رضی اللہ عنہ سے مروی روایت میں اِن الفاظ کا,
1,امام بیہقی نے حضرت ابو ذر غفاری رضی اللہ عنہ سے مروی روایت میں اِن الفاظ کا,
2,امام بیہقی نے حضرت ابو ذر غفاری رضی اللہ عنہ سے مروی روایت میں اِن الفاظ کا,
1,اضافہ کیا ہے : وہ جوتے گائے کے چمڑے سے بنے ہوئے تھے ,
1,اسرارِ بیخودی و خودی ,
2,لفظ آنسوؤں کا سبب بھی ہیں ,
1,لفظ آنسوؤں کا سبب بھی ہیں ,
5,اختتام لیکن باوجود اتفاق رائے کہ کبھی ایس انہیں ہوا کہ سویاں نہ بنی ہوں ,
1,اختتام لیکن باوجود اتفاق رائے کہ کبھی ایس انہیں ہوا کہ سویاں نہ بنی ہوں ,
1,اختتام لیکن باوجود اتفاق رائے کہ کبھی ایس انہیں ہوا کہ سویاں نہ بنی ہوں ,
0,حلب شہر میں شامی سکیورٹی فورسز نے باغیوں کو پسپا کرنے کے لیے کئی بار کارروائی کی ہے ,
1,حلب شہر میں شامی سکیورٹی فورسز نے باغیوں کو پسپا کرنے کے لیے کئی بار کارروائی کی ہے ,
7,قدر مشترک ,
3,قدر مشترک ,
1,اللہ پاک نے سورہ البقرہ کی آیت 178 سے جس قانون سازی کی ابتدا لفظ کُتِبَ سے شروع فرمائی ھے ,
2,اللہ پاک نے سورہ البقرہ کی آیت 178 سے جس قانون سازی کی ابتدا لفظ کُتِبَ سے شروع فرمائی ھے ,
1,اللہ پاک نے سورہ البقرہ کی آیت 178 سے جس قانون سازی کی ابتدا لفظ کُتِبَ سے شروع فرمائی ھے ,
1,اللہ پاک نے سورہ البقرہ کی آیت 178 سے جس قانون سازی کی ابتدا لفظ کُتِبَ سے شروع فرمائی ھے ,
1,اللہ پاک نے سورہ البقرہ کی آیت 178 سے جس قانون سازی کی ابتدا لفظ کُتِبَ سے شروع فرمائی ھے ,
1,کہ تم پر فرض کیا گیا ھے ,
1,اس میں سب سے پہلے انسانی جان ھی کو لیا ھے اور اس کا قصاص فرض کیا ھے ,
1,اس میں سب سے پہلے انسانی جان ھی کو لیا ھے اور اس کا قصاص فرض کیا ھے ,
1,اس میں سب سے پہلے انسانی جان ھی کو لیا ھے اور اس کا قصاص فرض کیا ھے ,
2,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
4,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
0,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
0,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
3,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
2,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
2,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
0,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,پھر وصیت پھر روزے پھر حج کو لیا ھے ,
1,ترقی پسندوں نے اجتماعیت پر زور دیا جبکہ,
2,ترقی پسندوں نے اجتماعیت پر زور دیا جبکہ,
1,ترقی پسندوں نے اجتماعیت پر زور دیا جبکہ,
0,ترقی پسندوں نے اجتماعیت پر زور دیا جبکہ,
0,حلقے والوں نے انسان کو اپنے شخصیت کی طرف متوجہ کیا ,
0,حلقے والوں نے انسان کو اپنے شخصیت کی طرف متوجہ کیا ,
3,حلقے والوں نے انسان کو اپنے شخصیت کی طرف متوجہ کیا ,
3,حلقے والوں نے انسان کو اپنے شخصیت کی طرف متوجہ کیا ,
1,حلقے والوں نے انسان کو اپنے شخصیت کی طرف متوجہ کیا ,
4,ای کا عمل بلاواسطہ خارجی اور ہنگامی تھا جبکہ دوسری کا بلاواسطہ داخلی اور آہستہ ہے ,
1,ای کا عمل بلاواسطہ خارجی اور ہنگامی تھا جبکہ دوسری کا بلاواسطہ داخلی اور آہستہ ہے ,
1,ای کا عمل بلاواسطہ خارجی اور ہنگامی تھا جبکہ دوسری کا بلاواسطہ داخلی اور آہستہ ہے ,
2,ای کا عمل بلاواسطہ خارجی اور ہنگامی تھا جبکہ دوسری کا بلاواسطہ داخلی اور آہستہ ہے ,
1,ایک ایسی بھی گھڑی عشق میں آئی تھی ,
1,کہ ہم برادرم ابن سعید کا بھی شکریہ کے وہ تمہیں واپس لائے ,
3,کہ ہم برادرم ابن سعید کا بھی شکریہ کے وہ تمہیں واپس لائے ,
0,( عمران رشید یاور ) سوچا جا سکتا ہے ، ویسے بھی عاطف بٹ لالہ مجھے کہہ رہے تھے سکرپٹ لکھ کے دو ,
0,( عمران رشید یاور ) سوچا جا سکتا ہے ، ویسے بھی عاطف بٹ لالہ مجھے کہہ رہے تھے سکرپٹ لکھ کے دو ,
1,وہ تو انہوں نے کمیشن سے انکار کر دیا ,
0,وہ تو انہوں نے کمیشن سے انکار کر دیا ,
0,ورنہ تو اب تک میں نے تین چار سو سکرپٹ لکھ ہی ڈالنے تھے لالہ تعلیم ، صحت اور ترقیاتی منصوبوں کے بارے میں گاؤں کی سطح پر لوگ خود فیصلہ کریں گے ,
2,ورنہ تو اب تک میں نے تین چار سو سکرپٹ لکھ ہی ڈالنے تھے لالہ تعلیم ، صحت اور ترقیاتی منصوبوں کے بارے میں گاؤں کی سطح پر لوگ خود فیصلہ کریں گے ,
0,ورنہ تو اب تک میں نے تین چار سو سکرپٹ لکھ ہی ڈالنے تھے لالہ تعلیم ، صحت اور ترقیاتی منصوبوں کے بارے میں گاؤں کی سطح پر لوگ خود فیصلہ کریں گے ,
1,ورنہ تو اب تک میں نے تین چار سو سکرپٹ لکھ ہی ڈالنے تھے لالہ تعلیم ، صحت اور ترقیاتی منصوبوں کے بارے میں گاؤں کی سطح پر لوگ خود فیصلہ کریں گے ,
1,ورنہ تو اب تک میں نے تین چار سو سکرپٹ لکھ ہی ڈالنے تھے لالہ تعلیم ، صحت اور ترقیاتی منصوبوں کے بارے میں گاؤں کی سطح پر لوگ خود فیصلہ کریں گے ,
2,ورنہ تو اب تک میں نے تین چار سو سکرپٹ لکھ ہی ڈالنے تھے لالہ تعلیم ، صحت اور ترقیاتی منصوبوں کے بارے میں گاؤں کی سطح پر لوگ خود فیصلہ کریں گے ,
2,فرحت کیانی , 2008 ( یہ حدیث اِمام مالک ، ابوداوٴد اور نسائی نے روایت کی ہے ) ہمیں پاپوا نیوگنی جانے پر مجبور کیا جا رہا ہے جو زیادتی ہے 
1,فرحت کیانی , 2008 ( یہ حدیث اِمام مالک ، ابوداوٴد اور نسائی نے روایت کی ہے ) ہمیں پاپوا نیوگنی جانے پر مجبور کیا جا رہا ہے جو زیادتی ہے 
2,فرحت کیانی , 2008 ( یہ حدیث اِمام مالک ، ابوداوٴد اور نسائی نے روایت کی ہے ) ہمیں پاپوا نیوگنی جانے پر مجبور کیا جا رہا ہے جو زیادتی ہے 
1,فرحت کیانی , 2008 ( یہ حدیث اِمام مالک ، ابوداوٴد اور نسائی نے روایت کی ہے ) ہمیں پاپوا نیوگنی جانے پر مجبور کیا جا رہا ہے جو زیادتی ہے 
3,فرحت کیانی , 2008 ( یہ حدیث اِمام مالک ، ابوداوٴد اور نسائی نے روایت کی ہے ) ہمیں پاپوا نیوگنی جانے پر مجبور کیا جا رہا ہے جو زیادتی ہے 
1,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
1,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
3,ہستی ؟ شارح صحیح بخاری امام ابنِ حجر عسقلانی نے اس حدیث پاک کو آثارِ صالحین سے تبرک کے باب میں حجت قرار دیا ہے ,
